source,region_id,offset,cutoff_year,max_publication_year,possibility_pressure,question_pressure,anomaly_pressure,doubt_tension,pattern_formation,cross_domain_similarity,analogical_transfer,bridge_formation,collision_index,surprise_geometry,insight_coherence,leap_nonlinearity,originality_risk,density_gap,boundary_activity,complementarity,momentum,recombination,convergence,sequence_order_score,stage_possibility,stage_question,stage_pattern,stage_imagination,stage_insight,stage_discovery_readiness,core_geometry_score,n_docs,mean_citations,topic_entropy,activity_recent,activity_prior,question_rate,years_covered,quality_eligible,skg,pbs,bookwide_pbsk,match_case_id,label,target,domain,book_realm,landmark_year,cohort
PubMed,ips_c1,1,2005,2005.0,0.5027367866797834,0.9902601697106977,0.5253902571737828,0.8602787802290981,0.5921003517899596,0.8662984767791416,0.04265530570942982,0.9847715736040609,0.4581407262666078,0.3196227640426221,0.5038234676225413,0.8620689655172413,0.3196227640426221,0.13370152322085838,0.45685279187817257,0.8207193289307437,0.765625,0.0,0.8131166707845039,0.36666666666666664,0.31314905186128805,0.7649332026141534,0.3928072443650077,0.4456367368960948,0.00742694861714548,0.6231747513652401,0.3956619204085106,197,0.0,0.8207193289307437,146,44,0.6649746192893401,9,1,0.3687248718467979,0.5190659794236305,0.24061677003287912,ips,Adult stem-cell transdifferentiation,0,Life Sciences,Life,2006,landmark
PubMed,ips_c2,5,2001,2001.0,0.41465557336320386,0.9968490221758994,0.44933837783641745,0.44933837783641745,0.0,0.7719515748465595,0.037352495557091595,0.967741935483871,0.5198438136614101,0.0,0.0,0.9411764705882353,0.0,0.22804842515344048,0.0967741935483871,0.8748383692057408,0.8484848484848484,0.0,0.0,0.4,0.20916613995162192,0.5860375865428309,0.027744440886105722,9.173393412697614e-05,1.0000000000000004e-06,0.6835837255554011,0.38209215363893656,31,0.0,0.8748383692057408,27,4,0.8064516129032258,5,0,0.2682696155547042,0.36720492485424094,0.007729518257443195,ips,Somatic cell nuclear transfer,0,Life Sciences,Life,2006,landmark
PubMed,ips_c2,3,2003,2003.0,0.42791560060821066,0.995415604456335,0.6407786262308393,0.46708009273489937,0.5536804925394552,0.7871380009418958,0.03885871143890372,0.9873417721518988,0.49475925544413596,0.37763477753593505,0.4849957626148452,0.9411764705882353,0.37763477753593505,0.2128619990581042,0.22784810126582278,0.8263138315995977,0.7875,0.0,0.6749115327914081,0.4666666666666667,0.2748108592711983,0.6678843592567948,0.38703551266340014,0.4823899839592011,0.006891730157741912,0.701955317419344,0.4291070334292718,79,0.0,0.8263138315995977,62,16,0.759493670886076,7,1,0.34221275366587556,0.47276651630341615,0.23437988253065026,ips,Somatic cell nuclear transfer,0,Life Sciences,Life,2006,landmark
PubMed,ips_c2,1,2005,2005.0,0.4183755346845563,0.9931050973968729,0.6008296026925348,0.3941185679308145,0.5807255763317462,0.7172790462696461,0.03561489708908313,0.9930555555555556,0.5130095169795581,0.3270986393026918,0.48854979196618414,0.9411764705882353,0.3270986393026918,0.2827209537303539,0.08333333333333333,0.8054705812935075,0.6956521739130435,0.0,0.5179724652699869,0.4666666666666667,0.21441130354552188,0.6172453256359898,0.3852567525825835,0.4249604758876911,0.00632516465611537,0.6735295632224496,0.3997016063542107,144,0.0,0.8054705812935075,95,41,0.7083333333333334,9,1,0.26673221906267747,0.4163486695488935,0.21258802509730113,ips,Somatic cell nuclear transfer,0,Life Sciences,Life,2006,landmark
PubMed,mrna_c1,5,2015,2015.0,0.4793551230037417,0.9915952140174593,0.11417880603752598,0.929046219965812,0.5858629479234948,0.8232029514640011,0.037006371212601884,0.8990825688073395,0.452430535234431,0.3178237760278401,0.4895496718748298,0.6572008113590265,0.3178237760278401,0.17679704853599887,0.37155963302752293,0.8552257249819997,0.5954545454545455,0.0,0.5337523554289068,0.3,0.31578170818604917,0.4720475486014736,0.3762711797691987,0.4364755240229496,0.006393110183707516,0.48965401526373326,0.37321232345172073,218,0.0,0.8552257249819997,130,88,0.6834862385321101,6,1,0.38299646358673217,0.4500975164416221,0.20609739984039882,mrna,DNA vaccine platforms,0,Life Sciences,Life,2020,landmark
PubMed,mrna_c1,3,2017,2017.0,0.45864749572996405,0.991293175779824,0.15086652732566883,0.9382200196580414,0.5938125410445363,0.7518558600152918,0.033274701912838926,0.8851351351351351,0.4676780983168416,0.3086082778090767,0.49623335989814926,0.793951384963256,0.3086082778090767,0.2481441399847082,0.12837837837837837,0.8466476464007243,0.487603305785124,0.0,0.538697508922957,0.3,0.24446966566133588,0.5196368027487273,0.36990020445292837,0.4152566317648011,0.006441845551629801,0.4878960127102356,0.3478122153243058,296,0.0,0.8466476464007243,117,123,0.6790540540540541,8,1,0.2998929144738132,0.39857915515897435,0.19858385369254883,mrna,DNA vaccine platforms,0,Life Sciences,Life,2020,landmark
PubMed,mrna_c1,1,2019,2019.0,0.4848386574561963,0.993045506031391,0.15420049385965917,0.9519650603743129,0.5943463817150461,0.8267627416346252,0.0365189242095087,0.883419689119171,0.4346872318330812,0.3069939945124585,0.4956867579425506,0.793951384963256,0.3069939945124585,0.17323725836537485,0.3756476683937824,0.838791380030359,0.5458015267175571,0.0,0.4984044483015682,0.16666666666666666,0.3159898115139682,0.526290230105032,0.3706048538909514,0.42711702753644826,0.006274749735771091,0.41644642235694435,0.30177527262077286,386,0.0,0.838791380030359,142,118,0.7072538860103627,10,1,0.37933709973825797,0.43416615761077204,0.20241933175533952,mrna,DNA vaccine platforms,0,Life Sciences,Life,2020,landmark
PubMed,mrna_c2,5,2015,2015.0,0.47768522560273,0.9942638366117185,0.06190421372686666,0.9170651897254224,0.5807230768987006,0.7729852328503191,0.036892477022401594,0.9545454545454546,0.49726140125951146,0.3268918189865116,0.4883379727839127,0.7029876977152899,0.3268918189865116,0.22701476714968094,0.22727272727272727,0.8491185755088049,0.5491803278688523,0.0,0.4621505814174402,0.36666666666666664,0.2910143560783856,0.3835959571386472,0.38659062768905855,0.4355049546519587,0.006088374148399796,0.5211683606404767,0.40057333374580356,242,0.0,0.8491185755088049,133,109,0.731404958677686,6,1,0.3525250027315685,0.4123808503791865,0.19765996100257932,mrna,Viral-vector vaccine platforms,0,Life Sciences,Life,2020,landmark
PubMed,mrna_c2,3,2017,2017.0,0.46899862776504453,0.9933629976572513,0.09533797694034332,0.9380207561932771,0.5903924691485014,0.6604439313723561,0.0310372557912692,0.9398907103825137,0.5253302519949717,0.3135630744160851,0.4943480127130878,0.7029876977152899,0.3135630744160851,0.33955606862764387,0.01366120218579235,0.8344957964022416,0.5723684210526316,0.0,0.4400252359358886,0.3,0.12957582895073377,0.44619919904682614,0.3763497303780012,0.4019406470233229,0.006014092807403813,0.49421381518293567,0.29140593738857096,366,0.0,0.8344957964022416,173,129,0.7131147540983607,8,1,0.15701513719146282,0.3894016619914136,0.17211361284122328,mrna,Viral-vector vaccine platforms,0,Life Sciences,Life,2020,landmark
PubMed,mrna_c2,1,2019,2019.0,0.45393963293757533,0.9933490467102858,0.1396437760322114,0.9475495257615564,0.6017937464220089,0.7752578027378922,0.035260219341392084,0.9096385542168675,0.45855668210825895,0.296094624407349,0.49968211725136685,0.7029876977152899,0.296094624407349,0.22474219726210776,0.14859437751004015,0.8232078089970052,0.5734870317002883,0.0,0.3229704764096346,0.43333333333333335,0.24749230506223333,0.5084424396451417,0.3736808218407276,0.40810232020160325,0.005444427392789603,0.5590248855643236,0.39142548176427006,498,0.0,0.8232078089970052,198,147,0.7128514056224899,10,1,0.3018089819151578,0.37377750297031903,0.19697424897080537,mrna,Viral-vector vaccine platforms,0,Life Sciences,Life,2020,landmark
